#separator:Comma
#html:true
#notetype:Basic
#deck:JLPT-N3-文法
#tags column:3
#columns:Front,Back,Tags
"～ようになる<br>毎日練習して、日本語のニュースが少し読めるようになりました。","意思：變得會……；逐漸形成某種狀態<br>接續：動詞辭書形／ない形＋ようになる<br>例句翻譯：每天練習後，漸漸能讀懂一些日文新聞了。","JLPT_N3 115_07 W1 文法"
"～ことになる<br>来月から毎週、先生に進度を報告することになりました。","意思：（由外部決定）決定……；結果成為……<br>接續：動詞辭書形／ない形＋ことになる<br>例句翻譯：決定從下個月起每週向老師報告進度。","JLPT_N3 115_07 W1 文法"
"～ことにする<br>通学中は単語を復習することにしました。","意思：（自己決定）決定……<br>接續：動詞辭書形／ない形＋ことにする<br>例句翻譯：我決定通勤時複習單字。","JLPT_N3 115_07 W1 文法"
"～ために<br>N3に合格するために、毎日復習しています。","意思：為了……；因為……<br>接續：動詞辭書形／名詞＋の＋ために<br>例句翻譯：為了通過N3，我每天都在複習。","JLPT_N3 115_07 W1 文法"
"～ように<br>忘れないように、予定をカレンダーに入れました。","意思：為了能……；希望……<br>接續：動詞辭書形／ない形＋ように<br>例句翻譯：為了不要忘記，我把行程加進日曆。","JLPT_N3 115_07 W1 文法"
"～ばかり<br>文法ばかり勉強しないで、聴解も練習しましょう。","意思：淨是……；剛剛……<br>接續：名詞＋ばかり／動詞た形＋ばかり<br>例句翻譯：不要只讀文法，也練習聽力吧。","JLPT_N3 115_07 W1 文法"
"～ところだ<br>今から模擬試験を始めるところです。","意思：正要……／正在……／剛剛……<br>接續：動詞辭書形／ている形／た形＋ところだ<br>例句翻譯：我現在正要開始模擬考。","JLPT_N3 115_07 W1 文法"
"～はずだ<br>毎日復習したので、前より速く答えられるはずです。","意思：照理應該……<br>接續：普通形＋はずだ；名詞／な形容詞＋の＋はずだ<br>例句翻譯：因為每天複習，照理應該能比以前答得快。","JLPT_N3 115_07 W1 文法"
"～わけではない<br>忙しくても、全く勉強できないわけではありません。","意思：並不是……；不代表……<br>接續：普通形＋わけではない<br>例句翻譯：即使很忙，也並不是完全不能學習。","JLPT_N3 115_07 W1 文法"
"～そうだ（傳聞）<br>先生の話では、来週テストがあるそうです。","意思：聽說……<br>接續：普通形＋そうだ<br>例句翻譯：聽老師說，下週有考試。","JLPT_N3 115_07 W1 文法"
"～らしい<br>この教材はN3の学習者に人気があるらしいです。","意思：聽說……；似乎……；具有……特徵<br>接續：普通形＋らしい／名詞＋らしい<br>例句翻譯：聽說這套教材很受N3學習者歡迎。","JLPT_N3 115_07 W1 文法"
"～てしまう<br>電車の中で寝てしまい、駅を通り過ぎました。","意思：做完……；不小心……（遺憾）<br>接續：動詞て形＋しまう<br>例句翻譯：我在電車上不小心睡著，坐過站了。","JLPT_N3 115_07 W1 文法"
"～ても<br>時間が短くても、毎日続けることが大切です。","意思：即使……也……<br>接續：動詞て形／い形容詞くて／名詞・な形容詞でも<br>例句翻譯：即使時間很短，每天持續仍很重要。","JLPT_N3 115_07 W1 文法"
"～ながら<br>電車に乗りながら、単語を復習します。","意思：一邊……一邊……；雖然……卻……<br>接續：動詞ます形去ます＋ながら<br>例句翻譯：我一邊搭電車，一邊複習單字。","JLPT_N3 115_07 W1 文法"
"～によって<br>人によって、覚えやすい方法は違います。","意思：依據……；因……而異；被……<br>接續：名詞＋によって<br>例句翻譯：容易記憶的方法因人而異。","JLPT_N3 115_07 W1 文法"
