#separator:Comma
#html:true
#notetype:Basic
#deck:JLPT-N3-單字
#tags column:3
#columns:Front,Back,Tags
"改善","讀音：かいぜん<br>中文：改善<br>例句：生活習慣を改善するために、毎日少し歩いています。","JLPT_N3 115_07 W1 詞彙"
"確認","讀音：かくにん<br>中文：確認<br>例句：出発する前に、電車の時間を確認してください。","JLPT_N3 115_07 W1 詞彙"
"管理","讀音：かんり<br>中文：管理<br>例句：学習時間をアプリで管理しています。","JLPT_N3 115_07 W1 詞彙"
"完成","讀音：かんせい<br>中文：完成<br>例句：このレポートは明日までに完成する予定です。","JLPT_N3 115_07 W1 詞彙"
"関係","讀音：かんけい<br>中文：關係<br>例句：睡眠時間は集中力と深い関係があります。","JLPT_N3 115_07 W1 詞彙"
"影響","讀音：えいきょう<br>中文：影響<br>例句：天気の変化が試合に影響しました。","JLPT_N3 115_07 W1 詞彙"
"経験","讀音：けいけん<br>中文：經驗<br>例句：海外で働いた経験があります。","JLPT_N3 115_07 W1 詞彙"
"結果","讀音：けっか<br>中文：結果<br>例句：試験の結果は来月発表されます。","JLPT_N3 115_07 W1 詞彙"
"原因","讀音：げんいん<br>中文：原因<br>例句：失敗した原因を考えて、次の方法を決めます。","JLPT_N3 115_07 W1 詞彙"
"効果","讀音：こうか<br>中文：效果<br>例句：毎日の復習には大きな効果があります。","JLPT_N3 115_07 W1 詞彙"
"行動","讀音：こうどう<br>中文：行動<br>例句：目標を決めたら、すぐ行動することが大切です。","JLPT_N3 115_07 W1 詞彙"
"状況","讀音：じょうきょう<br>中文：狀況<br>例句：状況が変わったら、すぐ連絡してください。","JLPT_N3 115_07 W1 詞彙"
"条件","讀音：じょうけん<br>中文：條件<br>例句：この仕事に応募するには、二つの条件があります。","JLPT_N3 115_07 W1 詞彙"
"情報","讀音：じょうほう<br>中文：資訊<br>例句：正しい情報かどうかを確かめましょう。","JLPT_N3 115_07 W1 詞彙"
"説明","讀音：せつめい<br>中文：說明<br>例句：先生が文法の使い方を詳しく説明しました。","JLPT_N3 115_07 W1 詞彙"
"選択","讀音：せんたく<br>中文：選擇<br>例句：将来のために最もよい選択をしたいです。","JLPT_N3 115_07 W1 詞彙"
"増加","讀音：ぞうか<br>中文：增加<br>例句：最近、オンラインで学ぶ人が増加しています。","JLPT_N3 115_07 W1 詞彙"
